LAD19CD,ethnicity,population,proportion
E06000020,White,154415.0,0.926632701436021
E06000021,Asian/Asian British,18442.0,0.0740618775300392
E06000021,Black/African/Caribbean/Black British,3741.0,0.0150236136991583
E06000021,Mixed/multiple ethnic group,4491.0,0.0180355651224057
E06000021,Other ethnic group,1622.0,0.00651384694467648
E06000021,White,220712.0,0.88636509670372
E06000022,Asian/Asian British,4577.0,0.0260033178801927
E06000022,Black/African/Caribbean/Black British,1326.0,0.00753340605399509
E06000022,Mixed/multiple ethnic group,2898.0,0.0164644123261522
E06000022,Other ethnic group,742.0,0.00421552586128534
E06000022,White,166473.0,0.945783337878375
E06000023,Asian/Asian British,23655.0,0.0552384911053303
E06000023,Black/African/Caribbean/Black British,25734.0,0.0600933134688044
E06000023,Mixed/multiple ethnic group,15438.0,0.0360503836687419
E06000023,Other ethnic group,3815.0,0.00890868076799133
E06000023,White,359592.0,0.839709130989132
E06000024,Asian/Asian British,2436.0,0.0120257101389177
E06000024,Black/African/Caribbean/Black British,632.0,0.0031199707749573
E06000024,Mixed/multiple ethnic group,2033.0,0.0100362351036205
E06000024,Other ethnic group,389.0,0.00192036175863669
E06000024,White,197076.0,0.972897722223868
E06000025,Asian/Asian British,6440.0,0.0245084047844668
E06000025,Black/African/Caribbean/Black British,2218.0,0.00844093816955706
E06000025,Mixed/multiple ethnic group,3667.0,0.0139553292460621
E06000025,Other ethnic group,868.0,0.00330330673181944
E06000025,White,249574.0,0.949792021068095
E06000026,Asian/Asian British,3906.0,0.0152349600599101
E06000026,Black/African/Caribbean/Black British,1678.0,0.00654487019470794
E06000026,Mixed/multiple ethnic group,3287.0,0.0128206128307539
E06000026,Other ethnic group,1004.0,0.00391600099850225
E06000026,White,246509.0,0.961483555916126
E06000027,Asian/Asian British,1353.0,0.0103314777907589
E06000027,Black/African/Caribbean/Black British,251.0,0.00191663039577272
E06000027,Mixed/multiple ethnic group,1420.0,0.0108430882948098
E06000027,Other ethnic group,236.0,0.0018020907306867
E06000027,White,127699.0,0.975106712787972
E06000030,Asian/Asian British,13365.0,0.0638996729713707
E06000030,Black/African/Caribbean/Black British,2861.0,0.0136787852129511
E06000030,Mixed/multiple ethnic group,4226.0,0.0202050144389833
E06000030,Other ethnic group,806.0,0.0038535829715619
E06000030,White,187898.0,0.898362944405133
E06000031,Asian/Asian British,21492.0,0.11703906203201
E06000031,Black/African/Caribbean/Black British,4164.0,0.022675909840931
