UTLA19CD,ethnicity,population,proportion
E06000022,Asian/Asian British,4577,0.02600331788019271
E06000022,Black/African/Caribbean/Black British,1326,0.007533406053995092
E06000022,Mixed/multiple ethnic group,2898,0.01646441232615217
E06000022,Other ethnic group,742,0.004215525861285338
E06000022,White,166473,0.9457833378783747
E06000023,Asian/Asian British,23655,0.055238491105330266
E06000023,Black/African/Caribbean/Black British,25734,0.06009331346880444
E06000023,Mixed/multiple ethnic group,15438,0.03605038366874186
E06000023,Other ethnic group,3815,0.008908680767991332
E06000023,White,359592,0.8397091309891321
E06000024,Asian/Asian British,2436,0.012025710138917687
E06000024,Black/African/Caribbean/Black British,632,0.0031199707749572977
E06000024,Mixed/multiple ethnic group,2033,0.010036235103620549
E06000024,Other ethnic group,389,0.0019203617586366912
E06000024,White,197076,0.9728977222238677
E06000025,Asian/Asian British,6440,0.024508404784466847
E06000025,Black/African/Caribbean/Black British,2218,0.00844093816955706
E06000025,Mixed/multiple ethnic group,3667,0.0139553292460621
E06000025,Other ethnic group,868,0.0033033067318194447
E06000025,White,249574,0.9497920210680946
E06000026,Asian/Asian British,3906,0.015234960059910135
E06000026,Black/African/Caribbean/Black British,1678,0.0065448701947079385
E06000026,Mixed/multiple ethnic group,3287,0.012820612830753869
E06000026,Other ethnic group,1004,0.003916000998502246
E06000026,White,246509,0.9614835559161258
E06000027,Asian/Asian British,1353,0.01033147779075894
E06000027,Black/African/Caribbean/Black British,251,0.0019166303957727229
E06000027,Mixed/multiple ethnic group,1420,0.010843088294809827
E06000027,Other ethnic group,236,0.0018020907306867035
E06000027,White,127699,0.9751067127879718
E06000030,Asian/Asian British,13365,0.06389967297137066
E06000030,Black/African/Caribbean/Black British,2861,0.013678785212951098
E06000030,Mixed/multiple ethnic group,4226,0.020205014438983343
E06000030,Other ethnic group,806,0.0038535829715618964
E06000030,White,187898,0.898362944405133
E06000031,Asian/Asian British,21492,0.11703906203200985
E06000031,Black/African/Caribbean/Black British,4164,0.022675909840930996
E06000031,Mixed/multiple ethnic group,4948,0.026945341472845
E06000031,Other ethnic group,1483,0.00807597845679651
E06000031,White,151544,0.8252637081974177
E06000032,Asian/Asian British,60952,0.29995915374432214
E06000032,Black/African/Caribbean/Black British,19909,0.0979768800350392
E06000032,Mixed/multiple ethnic group,8281,0.04075275220102263
E06000032,Other ethnic group,2980,0.014665282159044493
E06000032,White,111079,0.5466459318605715
E06000033,Asian/Asian British,6440,0.037084384249501896
E06000033,Black/African/Caribbean/Black British,3647,0.02100104803694618
E06000033,Mixed/multiple ethnic group,3651,0.02102408181598314
E06000033,Other ethnic group,897,0.005165324949037764
E06000033,White,159023,0.9157251609485311
E06000034,Asian/Asian British,5927,0.037582828699153484
E06000034,Black/African/Caribbean/Black British,12323,0.07813956437652579
E06000034,Mixed/multiple ethnic group,3099,0.019650613487207126
E06000034,Other ethnic group,927,0.0058780634729399825
E06000034,White,135429,0.8587489299641736
E06000035,Asian/Asian British,13615,0.05158662498815952
E06000035,Black/African/Caribbean/Black British,6663,0.02524580846831486
E06000035,Mixed/multiple ethnic group,5176,0.019611632092450506
E06000035,Other ethnic group,1892,0.007168703230084304
E06000035,White,236579,0.8963872312209908
E06000036,Asian/Asian British,5664,0.05003312574532927
E06000036,Black/African/Caribbean/Black British,2189,0.019336601740205822
E06000036,Mixed/multiple ethnic group,2303,0.020343624398215625
E06000036,Other ethnic group,495,0.004372598383463628
E06000036,White,102554,0.9059140497327857
E06000037,Asian/Asian British,3808,0.02475588667420785
E06000037,Black/African/Caribbean/Black British,1376,0.008945404428495275
E06000037,Mixed/multiple ethnic group,2420,0.015732469997789652
E06000037,Other ethnic group,364,0.0023663715203286915
E06000037,White,145854,0.9481998673791785
E06000038,Asian/Asian British,21161,0.13591054477257256
E06000038,Black/African/Caribbean/Black British,10470,0.0672455651325001
E06000038,Mixed/multiple ethnic group,6180,0.03969222469138974
E06000038,Other ethnic group,1500,0.009634035119269354
E06000038,White,116387,0.7475176302842682
E06000039,Asian/Asian British,55697,0.39725402089797085
E06000039,Black/African/Caribbean/Black British,12115,0.08640918654826861
E06000039,Mixed/multiple ethnic group,4758,0.03393602225312935
E06000039,Other ethnic group,3582,0.025548304268749333
E06000039,White,64053,0.4568524660318819
E06000040,Asian/Asian British,13848,0.09579413392363033
E06000040,Black/African/Caribbean/Black British,1725,0.011932761483121196
E06000040,Mixed/multiple ethnic group,3315,0.022931654676258992
E06000040,Other ethnic group,1167,0.008072772551189817
E06000040,White,124505,0.8612686773657997
E06000041,Asian/Asian British,11438,0.07408990801917346
E06000041,Black/African/Caribbean/Black British,2093,0.013557455628967484
E06000041,Mixed/multiple ethnic group,3182,0.020611478170747505
E06000041,Other ethnic group,1142,0.007397331260525975
E06000041,White,136525,0.8843438269205856
E06000042,Asian/Asian British,22782,0.09155979599792621
E06000042,Black/African/Caribbean/Black British,17131,0.06884869042403977
E06000042,Mixed/multiple ethnic group,8235,0.0330960811185551
E06000042,Other ethnic group,1579,0.0063459273935881615
E06000042,White,199094,0.8001495050658908
E06000043,Asian/Asian British,11278,0.041255592258083396
E06000043,Black/African/Caribbean/Black British,4188,0.015319952152584967
E06000043,Mixed/multiple ethnic group,10408,0.0380730807077613
E06000043,Other ethnic group,3983,0.014570050005669992
E06000043,White,243512,0.8907813248759003
E06000044,Asian/Asian British,12474,0.06083216292134831
E06000044,Black/African/Caribbean/Black British,3777,0.01841935861423221
E06000044,Mixed/multiple ethnic group,5467,0.02666100967540574
E06000044,Other ethnic group,2156,0.01051420099875156
E06000044,White,181182,0.8835732677902621
E06000045,Asian/Asian British,19892,0.08397429944022762
E06000045,Black/African/Caribbean/Black British,5067,0.021390396906476643
E06000045,Mixed/multiple ethnic group,5678,0.02396974020820493
E06000045,Other ethnic group,2717,0.011469845745983233
E06000045,White,203528,0.8591957176991075
E06000046,Asian/Asian British,1514,0.01094998734314541
E06000046,Black/African/Caribbean/Black British,303,0.0021914439662966043
E06000046,Mixed/multiple ethnic group,1709,0.012360322568979858
E06000046,Other ethnic group,194,0.0014031027374968358
E06000046,White,134545,0.9730951433840813
E06000047,Asian/Asian British,4856,0.009461423655897219
E06000047,Black/African/Caribbean/Black British,701,0.0013658274264382105
E06000047,Mixed/multiple ethnic group,3094,0.006028345302995468
E06000047,Other ethnic group,822,0.0016015836583911684
E06000047,White,503769,0.9815428199562779
E06000049,Asian/Asian British,6060,0.016372758539636396
E06000049,Black/African/Caribbean/Black British,1402,0.003787889021876275
E06000049,Mixed/multiple ethnic group,3873,0.010463975878549796
E06000049,Other ethnic group,852,0.0023019125867607603
E06000049,White,357940,0.9670734639731767
E06000050,Asian/Asian British,4097,0.012429916749593456
E06000050,Black/African/Caribbean/Black British,908,0.0027547875051576417
E06000050,Mixed/multiple ethnic group,3050,0.00925341617921895
E06000050,Other ethnic group,528,0.0016019028664352806
E06000050,White,321025,0.9739599766995947
E06000051,Asian/Asian British,3089,0.010090517396261054
E06000051,Black/African/Caribbean/Black British,580,0.0018946261216676629
E06000051,Mixed/multiple ethnic group,2168,0.007081981778923265
E06000051,Other ethnic group,418,0.0013654374463053158
E06000051,White,299874,0.9795674372568427
E06000052,Asian/Asian British,3434,0.0064515765406098
E06000052,Black/African/Caribbean/Black British,762,0.001431596192179577
E06000052,Mixed/multiple ethnic group,4400,0.00826643470549887
E06000052,Other ethnic group,829,0.0015574714479224007
E06000052,White,522848,0.9822929211137894
E06000053,Asian/Asian British,2,9.078529278256923e-4
E06000053,Black/African/Caribbean/Black British,2,9.078529278256923e-4
E06000053,Mixed/multiple ethnic group,18,0.008170676350431231
E06000053,Other ethnic group,4,0.0018157058556513845
E06000053,White,2177,0.988197911938266
E06000054,Asian/Asian British,6178,0.01311730197184175
E06000054,Black/African/Caribbean/Black British,3228,0.0068537796641478105
E06000054,Mixed/multiple ethnic group,5568,0.0118221329522847
E06000054,Other ethnic group,1036,0.0021996641053460757
E06000054,White,454971,0.9660071213063797
E06000055,Asian/Asian British,17932,0.11386915080740924
E06000055,Black/African/Caribbean/Black British,6202,0.03938302884829088
E06000055,Mixed/multiple ethnic group,5386,0.034201385581569606
E06000055,Other ethnic group,1113,0.007067609014535271
E06000055,White,126846,0.805478825748195
E06000056,Asian/Asian British,6402,0.02516697394852603
E06000056,Black/African/Caribbean/Black British,3614,0.014207035902838656
E06000056,Mixed/multiple ethnic group,4789,0.018826091571304462
E06000056,Other ethnic group,854,0.003357168970953019
E06000056,White,238722,0.9384427296063779
E06000057,Asian/Asian British,2658,0.008410647157846772
E06000057,Black/African/Caribbean/Black British,338,0.0010695254850836002
E06000057,Mixed/multiple ethnic group,1692,0.005353955978584176
E06000057,Other ethnic group,274,8.670117837659955e-4
E06000057,White,311066,0.9842988595947194
E06000058,Asian/Asian British,10837,0.02860211988767129
E06000058,Black/African/Caribbean/Black British,2367,0.0062472287325014255
E06000058,Mixed/multiple ethnic group,6612,0.017451067333882308
E06000058,Other ethnic group,2161,0.00570353244230485
E06000058,White,356911,0.9419960516036401
E06000059,Asian/Asian British,3338,0.009141373615991105
E06000059,Black/African/Caribbean/Black British,841,0.002303144161488472
E06000059,Mixed/multiple ethnic group,2895,0.007928183528548308
E06000059,Other ethnic group,353,9.667180606485501e-4
E06000059,White,357726,0.9796605806333236
E08000001,Asian/Asian British,38749,0.13999624258452378
E08000001,Black/African/Caribbean/Black British,4652,0.016807208457075142
E08000001,Mixed/multiple ethnic group,4892,0.017674304336201974
E08000001,Other ethnic group,1848,0.006676638269276626
E08000001,White,226645,0.8188456063529225
E08000002,Asian/Asian British,13407,0.072446774019237
E08000002,Black/African/Caribbean/Black British,1893,0.010229114881660003
E08000002,Mixed/multiple ethnic group,3365,0.018183291905328
E08000002,Other ethnic group,1363,0.007365178860909975
E08000002,White,165032,0.891775640332865
E08000003,Asian/Asian British,85986,0.1709031715650323
E08000003,Black/African/Caribbean/Black British,43484,0.08642748252429307
E08000003,Mixed/multiple ethnic group,23161,0.04603410272157924
E08000003,Other ethnic group,15387,0.030582735571734375
E08000003,White,335109,0.666052507617361
E08000004,Asian/Asian British,43165,0.19193230678933024
E08000004,Black/African/Caribbean/Black British,2797,0.012436804403793737
E08000004,Mixed/multiple ethnic group,4057,0.018039369133425524
E08000004,Other ethnic group,552,0.002454456929172021
E08000004,White,174326,0.7751370627442785
E08000005,Asian/Asian British,31630,0.14941024756848167
E08000005,Black/African/Caribbean/Black British,2770,0.013084615420951445
E08000005,Mixed/multiple ethnic group,3569,0.016858842035153684
E08000005,Other ethnic group,856,0.004043476823225429
E08000005,White,172874,0.8166028181521878
E08000006,Asian/Asian British,9429,0.04030641251982405
E08000006,Black/African/Caribbean/Black British,6541,0.027960997379591592
E08000006,Mixed/multiple ethnic group,4616,0.019732145528848003
E08000006,Other ethnic group,2485,0.010622699661868996
E08000006,White,210862,0.9013777449098673
E08000007,Asian/Asian British,13762,0.04858176683434825
